COUNTRY,YEAR_x,GDP,GDP_PER_CAP,Q_OF_LIFE,TAX,PRICE_TO_INCOME_RATIO,POLLUTION,CRIME,Healthy life expectancy,Freedom to make life choices,Generosity
New Zealand,2019,213435000000.0,42865.0,"185,6",progressive,"8,3","22,7","39,6",0.816759705543518,0.614062130451202,0.500005125999451
North Macedonia,2019,12606338449.0,6070.0,"110,6",progressive,"13,7","80,9","39,3",,,
Norway,2019,404941000000.0,75720.0,"181,9",progressive,"8,4","19,9","35,3",0.796666502952576,0.635422587394714,0.36201223731041
Pakistan,2019,320909000000.0,1482.0,"104,6",progressive,"14,1","75,9","46,7",0.402047783136368,0.23521526157856,0.315446019172668
Panama,2019,66984427200.0,15774.0,"113,1",progressive,"12,7",62,"46,4",0.706156134605408,0.550026834011078,0.21055693924427
Philippines,2019,376823000000.0,3485.0,"90,7",progressive,"21,8","74,5","40,8",0.468009054660797,0.585214674472809,0.193513423204422
Poland,2019,597281000000.0,15732.0,148,progressive,"10,3","52,4","30,1",0.699475347995758,0.520342111587524,0.158465966582298
Portugal,2019,239987000000.0,23331.0,"163,5",progressive,"12,7","31,6","32,1",0.795843541622162,0.498465299606323,0.0951027125120163
Qatar,2019,175838000000.0,62088.0,"167,8",proportional,"5,7","66,5","13,3",0.710098087787628,0.604130983352661,0.330473870038986
Romania,2019,249882000000.0,12899.0,"140,3",progressive,"10,2","55,4","27,8",0.685158312320709,0.457003742456436,0.133519917726517
Russia,2019,1693110000000.0,11536.0,"104,9",proportional,"12,4","62,8","41,9",0.547349333763123,0.373783111572266,0.0522638224065304
Saudi Arabia,2019,803616000000.0,23451.0,"152,7",progressive,"2,9","67,3","29,7",0.590148329734802,0.449750572443008,0.147616013884544
Serbia,2019,51514222382.0,7417.0,"119,8",progressive,"18,6","58,9","37,3",0.65078467130661,0.208715528249741,0.220125883817673
Singapore,2019,375473000000.0,65831.0,"156,9",progressive,"21,6","32,3","21,5",0.949492394924164,0.549840569496155,0.345965981483459
Slovak Republic,2019,105284000000.0,19304.0,"153,1",proportional,"10,3","41,9","29,5",,,
Slovenia,2019,54178877606.0,25943.0,176,progressive,"10,2","24,3","22,6",0.790828227996826,0.572575807571411,0.242649093270302
South Africa,2019,387935000000.0,6625.0,"135,3",progressive,"4,1","56,9","76,8",0.187080070376396,0.479246735572815,0.139362379908562
South Korea,2019,1651420000000.0,31902.0,"149,5",progressive,"17,6","54,2",34,0.900214076042175,0.257921665906906,0.206674367189407
Spain,2019,1393050000000.0,29554.0,"174,2",progressive,"9,2","39,4","32,5",0.888960599899292,0.408781230449677,0.190133571624756
Sri Lanka,2019,83902574443.0,3848.0,"95,3",progressive,"26,3","57,7",41,0.625130832195282,0.561213254928589,0.490863561630249
Sweden,2019,533880000000.0,51939.0,"178,7",progressive,"10,3",18,"49,3",0.830875158309937,0.612924098968506,0.385399252176285
Switzerland,2019,731767000000.0,85335.0,"195,9",progressive,"9,6",22,"21,5",0.858131289482117,0.620070576667786,0.290549278259277
Thailand,2019,544081000000.0,7814.0,"103,3",progressive,"21,9","72,2","46,7",0.647239029407501,0.580200731754303,0.572123110294342
Turkey,2019,761004000000.0,9122.0,"125,5",progressive,"9,3","69,2","40,4",0.637605607509613,0.300740599632263,0.0466930419206619
UAE,2019,417216000000.0,42701.0,"167,8",proportional,"4,4","53,1","16,3",,,
Ukraine,2019,153883000000.0,3661.0,"102,3",proportional,"14,3","66,6","48,9",0.575903952121735,0.122974775731564,0.270061463117599
United Kingdom,2019,2878670000000.0,43070.0,"170,8",progressive,"9,2","39,4","42,7",0.805335938930511,0.508190035820007,0.492774158716202
United States,2019,21372600000000.0,65095.0,"179,2",progressive,"3,6","33,9","47,1",0.77428662776947,0.505740523338318,0.392578780651093
Vietnam,2019,330391000000.0,3425.0,"88,8",progressive,"19,7","87,1","48,8",0.652168989181519,0.571055591106415,0.234968051314354
Argentina,2020,389591000000.0,8586.0,"115,3",progressive,"24,5","50,7","61,8",0.695137083530426,0.494519203901291,0.109457060694695
Australia,2020,1327840000000.0,51680.0,"186,2",progressive,"7,5","23,5","41,4",0.84388679265976,0.601607382297516,0.477699249982834
Austria,2020,433258000000.0,48589.0,"182,5",progressive,"10,9","22,2","23,7",0.815328419208527,0.567766189575195,0.316472321748734
Bangladesh,2020,373902000000.0,2270.0,70,progressive,"13,1","86,2","63,9",0.533241033554077,0.478356659412384,0.172255352139473
Belarus,2020,61489588895.0,6555.0,134,proportional,"14,6","43,6",25,0.637714266777039,0.295400261878967,0.15513750910759
Belgium,2020,521677000000.0,45189.0,"153,5",progressive,"6,9","52,9",44,0.818091869354248,0.539770722389221,0.231503337621689
Bosnia,2020,19955120005.0,6082.0,"121,9",proportional,"12,6","62,3",43,0.705186307430267,0.204403176903725,0.328867495059967
Brazil,2020,1448570000000.0,6815.0,"105,6",progressive,"16,4",55,69,0.616552352905273,0.437453746795654,0.16234989464283
Bulgaria,2020,69889347433.0,10079.0,"129,8",proportional,"8,5","65,3","38,5",0.708217680454254,0.289231717586517,0.113177694380283
Canada,2020,1645420000000.0,43258.0,"163,5",progressive,8,"27,8","39,7",0.83455765247345,0.611100912094116,0.435539722442627
Chile,2020,252727000000.0,13221.0,"119,8",progressive,"14,9","65,8","45,2",0.819479703903198,0.376895278692245,0.326662421226501
China,2020,14687700000000.0,10409.0,"102,8",progressive,"29,1","80,8",32,0.943062424659729,0.490968644618988,0.374465793371201
China,2020,14687700000000.0,10409.0,"102,8",progressive,"29,1","80,8",32,0.741415500640869,0.472787708044052,0.0288068410009146
Colombia,2020,270300000000.0,5312.0,"105,8",progressive,"19,7","62,8",55,0.595027923583984,0.477487415075302,0.149014472961426
Croatia,2020,57203783203.0,14132.0,159,progressive,"13,7","30,5","24,7",0.701288521289825,0.255772292613983,0.248002976179123
Cyprus,2020,24692095945.0,27682.0,"147,9",progressive,"8,2","53,6",30,0.84471470117569,0.355111539363861,0.271254301071167
Czech Republic,2020,245339000000.0,22933.0,"156,2",proportional,"15,4","40,2","25,5",0.754444003105164,0.490946173667908,0.0881067588925362
Denmark,2020,356085000000.0,61063.0,"192,7",progressive,"7,5","21,3","25,1",0.792565524578094,0.626006722450256,0.355280488729477
Ecuador,2020,99291124000.0,5628.0,"125,1",progressive,"12,7",57,"50,9",0.685636222362518,0.4551981985569,0.150112465023994
Egypt,2020,365253000000.0,3569.0,"86,5",progressive,13,"85,6","46,9",0.520187258720398,0.282110154628754,0.128631442785263
Estonia,2020,30650285472.0,23054.0,"177,8",proportional,"9,1","19,8","23,1",0.695168316364288,0.479131430387497,0.0988908112049103
